date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:09	38391/38391	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20May%202025%2019:48:10%20GMT	https://www.northerncam.co.uk/pages/end-uses	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/pages/end-uses.html	(from https://www.northerncam.co.uk/)
15:48:10	29789/29789	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20May%202025%2019:48:10%20GMT	https://www.northerncam.co.uk/pages/capabilities	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/pages/capabilities.html	(from https://www.northerncam.co.uk/)
15:48:10	28390/28390	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20May%202025%2019:48:10%20GMT	https://www.northerncam.co.uk/pages/customer-care	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/pages/customer-care.html	(from https://www.northerncam.co.uk/)
15:48:10	29652/29652	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20May%202025%2019:48:10%20GMT	https://www.northerncam.co.uk/pages/quality	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/pages/quality.html	(from https://www.northerncam.co.uk/)
15:48:10	27653/27653	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20May%202025%2019:48:11%20GMT	https://www.northerncam.co.uk/pages/contact	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/pages/contact.html	(from https://www.northerncam.co.uk/)
15:48:11	1882/1882	---M--	200	added ('OK')	image/png	etag:%2275a-59dff76dd7700%22	https://www.northerncam.co.uk/uploads/default_sub/icons/engine_ICON-01.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/icons/engine_ICON-01.png	(from https://www.northerncam.co.uk/)
15:48:11	2360/2360	---M--	200	added ('OK')	image/png	etag:%22938-59dff76bef280%22	https://www.northerncam.co.uk/uploads/default_sub/icons/tractor_ICONS-03.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/icons/tractor_ICONS-03.png	(from https://www.northerncam.co.uk/)
15:48:11	1810/1810	---M--	200	added ('OK')	image/png	etag:%22712-59dff76dd7700%22	https://www.northerncam.co.uk/uploads/default_sub/icons/construction_ICONS-02.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/icons/construction_ICONS-02.png	(from https://www.northerncam.co.uk/)
15:48:11	1317/1317	---M--	200	added ('OK')	image/png	etag:%22525-59dff76ecb940%22	https://www.northerncam.co.uk/uploads/default_sub/icons/gas_ICONS-04.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/icons/gas_ICONS-04.png	(from https://www.northerncam.co.uk/)
15:48:11	1665/1665	---M--	200	added ('OK')	image/png	etag:%22681-59dff76dd7700%22	https://www.northerncam.co.uk/uploads/default_sub/icons/Boiler_ICONS-05.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/icons/Boiler_ICONS-05.png	(from https://www.northerncam.co.uk/)
15:48:12	1604/1604	---M--	200	added ('OK')	image/png	etag:%22644-59dff76afb040%22	https://www.northerncam.co.uk/uploads/default_sub/icons/Light_ICONS-06.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/icons/Light_ICONS-06.png	(from https://www.northerncam.co.uk/)
15:48:12	1583/1583	---M--	200	added ('OK')	image/png	etag:%2262f-59dff76afb040%22	https://www.northerncam.co.uk/uploads/default_sub/icons/Marine_ICONS-07.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/icons/Marine_ICONS-07.png	(from https://www.northerncam.co.uk/)
15:48:12	15983/15983	---M--	200	added ('OK')	image/png	etag:%223e6f-59dfbd3c7ebc0%22	https://www.northerncam.co.uk/images/default/content/welcome-banner.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/content/welcome-banner.png	(from https://www.northerncam.co.uk/)
15:48:12	35776492/35776492	---M--	200	added ('OK')	video/mp4	etag:%22221e7ec-59dfbdd050880%22	https://www.northerncam.co.uk/images/default/videos/home-video.mp4	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/videos/home-video.mp4	(from https://www.northerncam.co.uk/)
15:48:12	1120/1120	---M--	200	added ('OK')	image/png	etag:%22460-5cb6692599380%22	https://www.northerncam.co.uk/images/playicon.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/playicon.png	(from https://www.northerncam.co.uk/)
15:48:13	2343183/2343183	---M--	200	added ('OK')	image/png	etag:%2223c10f-59dff741f8f80%22	https://www.northerncam.co.uk/uploads/default_sub/content/slide-bg.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/content/slide-bg.png	(from https://www.northerncam.co.uk/)
15:48:13	20381/20381	---M--	200	added ('OK')	image/png	etag:%224f9d-59dfbd3c7ebc0%22	https://www.northerncam.co.uk/images/default/content/slider-img.png	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/images/default/content/slider-img.png	(from https://www.northerncam.co.uk/)
15:48:13	409289/409289	---M--	200	added ('OK')	image/jpeg	etag:%2263ec9-59dff73a57d80%22	https://www.northerncam.co.uk/uploads/default_sub/content/slide-2.jpg	C:/My%20Web%20Sites/MantriqWebsite/www.northerncam.co.uk/uploads/default_sub/content/slide-2.jpg	(from https://www.northerncam.co.uk/)
